0YQVT1ME4G3999928,Truck,0.5,Tool Box,4
138J6387R5R404455,Truck,2.5,Hinged,5
1DQL1LHOWDJ517215,Truck,4,Snap,3
1EF7NFU0EUT973245,Truck,3,,3
1NGZ4FLKC0Y272420,Truck,4,Folding,5
23XU4U8IFDL261229,Truck,0.5,Hinged,2
2H6ZZF8OOXC822443,Truck,3,Roll-Up/Rolling,5
2JS82H11FSA911163,Truck,3.5,Retractable,3
2NMR3SMFNAZ813043,Truck,2.5,Snap,3
3JLCARWCAYY553033,Truck,0.5,Retractable,5
3WLVE4GIZOK699230,Truck,3.5,Folding,5
5RCHA2RQSKN126776,Truck,1,Tool Box,4
68T41LUUBBY587797,Truck,4,Roll-Up/Rolling,2
6EO0EFPPJU8942538,Truck,1.5,Tool Box,2
6HE6INXKVOC685258,Truck,0.5,Electric,5
7754T022K8E889647,Truck,2,,2
7PFC2F3KDN7669570,Truck,1.5,Folding,5
7U1WAVAPBF2458008,Truck,1,Hinged,5
83L3CNAESZD022827,Truck,4,Folding,5
8AWRIWHIOB7240899,Truck,3.5,,3
AKKYTP5OU6P046110,Truck,1,Snap,5
AKYPYSGLLFN832831,Truck,3.5,Folding,3
AUQIR5H4HRE068152,Truck,2.5,Roll-Up/Rolling,2
AYMY58PYO6D565858,Truck,3,Tool Box,4
B8R5GVJM8U6577878,Truck,1.5,Snap,5
BFTNOGUH70U239681,Truck,4,Snap,4
BROGP21GT25414842,Truck,1,Electric,4
C2JK28BV6S1248001,Truck,0.5,Snap,2
C2SS48P7UYI831488,Truck,3.5,Electric,2
CJJ5SBM35DI082557,Truck,3,Roll-Up/Rolling,2
D1YNI86BAFG479600,Truck,3,Roll-Up/Rolling,5
D5SBJR5NFWQ090407,Truck,3.5,Roll-Up/Rolling,3
DQXE6GO6G5V238732,Truck,2,Hinged,3
EQBIYSJUAOQ651323,Truck,2,Tool Box,4
F63IMMDNGBM441376,Truck,2.5,Tool Box,2
FSWKSU6C60V569652,Truck,2,Hinged,4
G1P06L4HJ6H584223,Truck,2,,4
GGEWPOMLDT6438413,Truck,3.5,Retractable,2
GHQ048ABH46553056,Truck,3.5,Hinged,4
GJN18I5K5B7472150,Truck,4,Retractable,4
HYJR3P5MJII589050,Truck,2,Snap,3
IGRV02IHT73140725,Truck,2,Hinged,5
IHRJFBVFNUW829342,Truck,1.5,Snap,4
J5DUNEJPB5K495242,Truck,1.5,Tool Box,2
JGJDNZFK42R045945,Truck,1.5,Tool Box,3
JOX151ZR3GE955194,Truck,2,Folding,3
JS3TNLHZADY983948,Truck,3,Hinged,3
KBXXCK3OQ7B192491,Truck,2.5,Electric,2
KDDOFMA5505536025,Truck,1.5,Hinged,3
KFDWFBUV5X0109490,Truck,3.5,,3
KN4X2AB146B341868,Truck,1,Roll-Up/Rolling,2
KNYT4XAJ1KK791804,Truck,4,Hinged,2
LDMZ4BXPWOE239230,Truck,3.5,Folding,2
LIQR1KMIZ00707485,Truck,0.5,Folding,3
LMLJ20KCYXP867169,Truck,2.5,Snap,2
LPMORGRY77A614138,Truck,2,Hinged,3
MD0HGAJVEW8914201,Truck,2.5,Retractable,3
MSDXHNXN7QI172357,Truck,3.5,Snap,4
NTUHURHPI0H639059,Truck,3,,3
O583JPNPRFJ444212,Truck,0.5,Hinged,5
ODZ0W6TMP44331893,Truck,1.5,Snap,3
OLF4GTGBOPG333827,Truck,2,Retractable,5
ORHEJZV7OOL232179,Truck,1,Hinged,4
PHC3C1O8R1Q659241,Truck,2.5,Retractable,2
Q04FS5KM3OG901738,Truck,1,Folding,5
Q6CNI13ED0C199030,Truck,2.5,Electric,2
QAS5AVWTM6E601144,Truck,3.5,Retractable,4
R4EQ76G1HHV776360,Truck,1.5,Tool Box,3
RCWIFAWFT3E015306,Truck,3.5,,4
RU32GUAPYSR767349,Truck,2,Hinged,2
T0QADA6YOL4031160,Truck,2,Roll-Up/Rolling,4
T24YYPUH8J8042832,Truck,2,Retractable,5
TO6RWDMW814286852,Truck,1,Roll-Up/Rolling,5
TPWVCLGW5SF975070,Truck,4,Electric,5
UBR5KSD76ZB411512,Truck,3,Folding,4
UF6A7D3BENH287178,Truck,3.5,Roll-Up/Rolling,3
URH3DGEQQ7S513356,Truck,3,,2
V5NULLM2X1M103960,Truck,2,Snap,3
WAKUE2I52W0243711,Truck,0.5,Hinged,5
WO62TPHPUNV545044,Truck,2.5,Electric,4
WRJTUEFBEKL053792,Truck,3,Roll-Up/Rolling,3
XFN55MCIYNY954918,Truck,3.5,Retractable,2
XTL7REP4G5A986109,Truck,2.5,Tool Box,3
Y8C5IT8AQ05184927,Truck,2.5,Snap,4
YXGLZG8ECDM958701,Truck,0.5,Retractable,5
Z2RRAJH2X3J850942,Truck,1.5,Roll-Up/Rolling,5
Z3BUCA4HE1G243690,Truck,0.5,Electric,4
ZBJWXVPPM7K107746,Truck,0.5,Roll-Up/Rolling,5
ZBPE1C11UOK224003,Truck,0.5,Roll-Up/Rolling,3
ZSQLODTR32F951695,Truck,3,Retractable,4
