00AIVKIDO01487633,LS,2006,5315.01,1,,2020-07-17,27,user09
01WR7E2ZMCD216522,FE145,2006,2572,1,automatic safety features; ,2021-02-09,34,user18
06XZOKN8UAY309163,5-Sep,2004,1177.06,1,,2020-02-13,39,user25
073HOEWCHAF741925,QX56,2013,4488.9,1,,2021-02-20,20,user18
07TSE0YYIZF380247,CR125R,2003,2262.77,1,good gear; disc brake; disc brake; ,2020-04-11,18,user20
07W0YPOJ5ME337155,V8 VANTAGE,2009,3976.03,1,,2020-09-02,3,roland
0BT52YYB1L8670257,SLK350,2012,13651.83,1,coupe; ,2020-03-15,32,user27
0EPPRCZZ8NW751990,EXIGE,2010,4789.06,1,superturbocharger; crankcase; ,2020-07-22,28,user18
0I0Q707FJ2E520815,VOYAGER,2002,1561.77,1,supernew catalytic converter; ,2020-09-25,10,user03
0K0DP4SDKL0912273,ALPINA B7L XDRIVE,2013,3044.58,1,power train; ,2020-03-21,6,user27
0T8OJLNDGOE809956,GHOST,2021,3972.65,0,four-wheel drive; high differential; strong muffler; ,2020-06-26,38,user03
0UBBG820VBK445621,LUPO,2007,3628.68,1,best possible traction; autotachometer; ,2020-02-27,45,user11
0VWWXBNXE6N897485,GRAND CHEROKEE,2007,1006.68,1,ultra new transmission; best sedan; ,2020-04-18,22,user25
0WPI14P1N3Y139809,EX35,2008,4256.41,1,automatic transmission; ,2021-01-16,20,user03
0YQVT1ME4G3999928,ARNAGE,2002,1085.89,1,front wheel drive; ,2021-05-23,5,user03
138J6387R5R404455,W3500 TILTMASTER,2003,1492.24,0,all passive safety features; ,2020-03-22,9,user20
15G3KHMPQ6Q659826,EVORA,2013,4054.4,1,anti-lock brake system (ABS); great stabilizer bar; ,2020-01-12,28,user05
1D5LRLSWAOI565071,ECONOLINE VAN,2012,4325.62,0,safe oil ring; ,2020-10-10,14,user14
1DQL1LHOWDJ517215,OUTBACK,2004,1284.63,1,crumple zones; oversteer; ,2020-05-02,41,user07
1EF7NFU0EUT973245,SIENNA,2002,3105.79,1,check the Monroney sticker - theer is nothing better than this vehicle; ,2020-10-18,43,user25
1FU8E0GMYMW270793,S,2013,2654.48,1,,2020-03-31,42,user14
1NGZ4FLKC0Y272420,ES350,2021,1135.53,1,high block; drive shaft; ,2020-06-09,26,user25
1XHDZEREQ7I052484,COUNTRYMAN,2012,6000.85,1,broad wheelbase; ,2020-02-16,33,user16
20DS0RGMDXW132327,B2300,2007,1800.98,1,disc brake; drum brake; good gear; ,2021-06-07,30,user26
21SSFP0O1TZ975822,ENZO,2004,2527.5,1,overdrive; ,2020-12-07,12,user18
222BHPCRR2U716446,CR-V,2001,2205.84,1,modern dashboard; ,2020-05-03,18,user14
23XU4U8IFDL261229,XK,2007,1812.08,1,original equipment manufacturer (OEM) parts; ,2020-09-10,21,user05
26OCQWEQYJV636712,ESCALADE,2014,2573.46,1,can be used as sports car; ,2021-06-15,8,user26
26RIMRHVSQK619881,SRX,2006,1647.53,1,superturbocharger; electronic transmission; ,2020-07-05,8,user09
280ECEXOEHP375800,IMPREZA,2001,1541.24,1,innovative air bags; ,2021-02-05,41,roland
2GJ51MZ0A1N199895,GALLARDO,2013,2743.31,1,best radiator; ,2020-06-26,24,user09
2H6ZZF8OOXC822443,EXIGE,2008,4789.06,1,no backfire/backfiring; ,2020-06-10,28,user27
2JFUVPW8OEP241581,R350,2008,3521.82,1,engine displacement; ,2020-09-14,32,user25
2JS82H11FSA911163,535XI,2008,4247.5,1,high torque; ,2020-10-26,6,user11
2M2YYWOTASX195835,A6,2005,1754.25,0,no backfire/backfiring; ,2020-05-31,4,user18
2MNNLWJKNT4620363,108SD,2013,2448.74,1,,2021-02-09,15,user07
2NMR3SMFNAZ813043,GALLARDO,2020,2743.31,1,superturbocharger; disc brake; ,2020-10-28,24,roland
2PLFCGV5R7I019543,CSX,2010,1291.57,0,no understeer; best radiator; ,2020-10-10,1,user27
2PTE667K3PZ151997,EUROVAN,2002,4051.61,0,best radiator; ,2020-05-27,45,user26
2UL7JBUREY0725461,OPTIMA,2010,4319.61,1,,2021-05-13,23,user27
2W7BN5RJGCI094698,XTERRA,2013,10249.6,1,high block; ,2020-12-18,35,user14
2XMKC0W8ARB619752,TOUAREG,2007,1655.83,1,,2020-05-27,45,user09
2ZGQSMRVMSR266772,TITAN,2018,1175.9,1,broad wheelbase; crumple zones; high differential; ,2021-06-01,35,user05
31C70O0QKDA098851,RANGE ROVER,2012,3972.38,0,,2020-06-26,25,user11
36GPKZLLJM1116960,GRANTURISMO,2017,4817.69,1,automatic torque converter; ,2020-03-15,29,user27
36HU6JXKV0B908236,RANGE ROVER,2007,3972.38,1,,2020-03-10,25,user11
3856NH1QBEC536316,A5,2012,1984.66,1,,2020-01-14,4,user27
3A03KTHXJ6O098081,XC70,2005,3369.1,1,front axle assembly; automatic torque converter; ,2021-03-07,46,user26
3A3OOF2JN5W951740,TUNDRA,2003,1763.04,1,sturdy rear axle assembly; ,2021-07-02,43,user27
3BZD4P4QMXX657876,FC80,2005,2168.4,1,superturbocharger; ,2020-02-02,15,user26
3C8P2TNWAH7477883,NSX,2004,3536.16,1,engine displacement; wide transaxle; front axle assembly; ,2020-01-20,1,user18
3J73EOBU1AT381615,PROMASTER 1500,2014,6607.68,1,anti-lock brake system (ABS); ,2020-07-07,37,user26
3JLCARWCAYY553033,MKZ,2010,1131.87,1,gap; ,2020-02-10,27,user11
3LSIXEX21UG135253,LR2,2015,5110.4,1,strong muffler; ,2020-02-08,25,user11
3PO4C2PYJG2012419,IMPREZA,2009,2629.98,1,best possible traction; ,2021-06-01,41,user14
3WLVE4GIZOK699230,MARK LT,2007,1565.57,1,engine displacement; ,2021-06-25,27,user26
40ZV2CDNP4T119176,COOPER,2008,2531.54,1,modern dashboard; ,2021-04-08,33,user05
41D7ZAIOT2O903612,RAM 4000,2005,4109.53,0,,2020-09-27,11,user11
42RZCIYGO3E765775,GALLARDO,2006,2743.31,0,best suspension; ,2021-05-11,24,user26
4AO3LKJSBVK865142,A3 QUATTRO,2006,3939,1,power train; ,2021-03-30,4,user27
4ILM6P01OC4089888,GRANSPORT,2005,3432.06,1,small spark plug gap; no backfire/backfiring; station wagon (Also known as wagon.); ,2021-01-19,29,user11
4J0U15MIVG3154225,TRX500FPE FOURTRAX FOREMAN 4X4 ES W,2009,2749.7,1,,2020-08-18,18,user09
4JT7M5DVI8N560897,MT55,2005,1584.17,1,high torque; ,2021-02-26,15,user03
4M0LNVY3QN7194734,COOPER PACEMAN,2019,3002.73,1,all passive safety features; sturdy side impact beams; ,2020-06-06,33,user03
4MN32RC4IOG603247,MKS,2011,1102.12,1,automatic valves; ,2020-01-24,27,user07
4QJE0AIYWQG719639,VANDEN PLAS,2001,1423.06,1,front axle assembly; ,2021-05-26,21,user25
4U6EIHP6IVH261573,DAKOTA,2010,2960.28,1,high torque; ,2020-12-17,37,user27
4VCO5FCED7G676135,S,2015,2654.48,1,automatic safety features; ,2021-01-14,42,user05
4ZDD0PLHYQ2396481,F650GS DAKAR ABS,2005,1724.77,1,,2020-05-17,6,user25
517DV0QLBFR999628,MULSANNE,2015,1557.58,1,gap; ,2020-11-17,5,roland
52RI0SIMIEO259872,EQUUS,2011,1361.52,1,drive shaft; ,2021-03-16,19,user20
55BNEOM74SD548903,FF,2017,1800.15,1,manual transmission; ,2020-01-24,12,user20
572N6O1FPHF266007,CANYON,2005,1318.35,1,,2021-01-02,17,user26
57QKKXRE3D4530992,S80,2005,2654.27,1,,2021-03-17,46,user11
5BJ3ZR2EH6A861494,MP4-12C,2018,5800.97,1,autotachometer; ,2020-07-28,31,user27
5BYUV0G3UUI083209,V8 VANTAGE,2009,3976.03,1,no understeer; engine displacement; best sedan; ,2020-08-13,3,roland
5CB4NEI0MK5675645,RAM 1500,2002,4949.98,1,no redline; ,2021-04-09,11,user11
5FJS67P7IPP595990,VANDEN PLAS,2005,1423.06,0,autotachometer; ,2020-02-28,21,user09
5NBXLBXN4X5470477,YUKON,2001,1232.23,1,,2021-06-19,17,user26
5PIT4XQ2IDT961455,RIDGELINE,2006,1160.69,1,no understeer; rack and pinion steering; ,2020-08-19,18,user09
5RCHA2RQSKN126776,520I,2016,3588.98,1,oversteer; ,2020-11-07,6,user07
5T4361QO304945721,ELISE,2010,3400.69,1,hatchback; ,2020-05-31,28,user11
5UQZITKQTP7241158,FL106,2003,5166.94,1,modern dashboard; detail; ,2020-10-14,15,user03
5W5DTMZTE7I312231,RAM 3500 PICKUP,2002,6365.84,1,,2020-03-30,11,user25
60A35P7VZQO153588,PHANTOM,2005,1706.99,0,engine displacement; ultra new transmission; innovative air bags; ,2020-11-07,38,user14
60R1UZM2YJQ922532,XKR-S,2020,5005.4,1,,2020-12-20,21,user16
61ZH3G2YGUO461519,S40,2009,2065.21,1,automatic valves; ,2021-03-01,46,user25
62EPDI1EYYJ402081,SAVANA 2500,2001,3037.76,1,check the Monroney sticker - theer is nothing better than this vehicle; crankcase; ,2020-03-25,17,user11
65AR6E3EWLS157544,DUCATO,2014,1265.69,1,electronic transmission; ,2020-02-21,13,user03
