2,TP-BAED0025,4,155.32,Plexzap
2,ZN-EAES0114,1,44.81,Nam-zim
4,BH-EAEM0145,3,7.9,Zathunicon
4,BH-PACBS0184,1,30.54,Finhigh
4,BM-EAEM0139,4,140.2,Funholding
4,ZN-BAE0019,2,109.27,Blackzim
4,ZN-EAEM0150,4,93.29,Toughzap
5,PP-PACBS0163,1,10.51,Finhigh
5,PP-PACBS0178,2,35.17,Nam-zim
6,BH-EAES0123,2,30.07,Finhigh
7,ZN-EAEM0139,1,73.66,Funholding
8,BM-BAE0009,1,65.02,Betatech
9,BH-EAEIS0080,3,54.88,Nam-zim
9,BH-EAES0102,3,2.99,Toughzap
9,BM-BAEW0036,2,70.11,Zathunicon
9,BM-EAEGAM0063,1,73.75,Blackzim
9,FG-BAE0016,1,64.8,Betatech
9,FG-BAEW0034,4,26.84,Finhigh
10,FH-EAEESS0054,3,43.13,Blackzim
10,FH-EAEESS0060,3,10.55,Plexzap
10,FH-EAES0124,1,55.1,Finhigh
10,NM-EAELASS0084,4,55.94,Plexzap
10,NM-PACBS0165,2,51.09,Betatech
10,ZN-BAEW0036,4,27.02,Plexzap
10,ZN-PACBS0178,3,72.62,Funholding
11,FG-EAELASS0084,1,76.07,Nam-zim
11,FG-PACBS0169,1,71.04,Toughzap
11,PP-10141,2,5.25,Blackzim
11,PP-PACBS0189,4,51.6,Funholding
11,TP-EAEGAM0064,2,61.21,Zathunicon
12,BH-EAEGAM0067,1,44.42,Funholding
12,BH-PACBS0164,4,54.77,Toughzap
12,FH-BAE0010,3,19.09,Blackzim
12,FH-PACBS0185,1,1.34,Zathunicon
12,NM-EAELASS0089,3,65.55,Zathunicon
12,NM-EAEWH0129,2,37.97,Blackzim
12,PP-EAEIS0079,1,69.52,Funholding
12,PP-PACBS0167,3,75.37,Nam-zim
12,ZN-EAEM0143,4,56.79,Funholding
13,ZN-EAEIS0082,3,19.89,Zathunicon
13,ZN-EAES0106,2,4.43,Zathunicon
14,TP-EAELASS0090,3,30.48,Nam-zim
15,FH-BAE0018,4,33.52,Blackzim
15,NM-EAELASS0087,2,27.95,Finhigh
15,ZN-EAEAD0041,4,12.58,Betatech
15,ZN-EAEAD0046,2,0.12,Funholding
15,ZN-EAEIS0081,4,1.42,Nam-zim
15,ZN-PACBS0195,4,19.6,Betatech
17,FG-PACBS0193,4,25.63,Funholding
